,Mean,Median,Min,Max,Std Dev,Missing
Diabetes_binary,0.14,0.0,0.0,1.0,0.35,0
HighBP,0.43,0.0,0.0,1.0,0.49,0
HighChol,0.42,0.0,0.0,1.0,0.49,0
CholCheck,0.96,1.0,0.0,1.0,0.19,0
BMI,28.38,27.0,12.0,98.0,6.61,0
Smoker,0.44,0.0,0.0,1.0,0.5,0
Stroke,0.04,0.0,0.0,1.0,0.2,0
HeartDiseaseorAttack,0.09,0.0,0.0,1.0,0.29,0
PhysActivity,0.76,1.0,0.0,1.0,0.43,0
Fruits,0.63,1.0,0.0,1.0,0.48,0
Veggies,0.81,1.0,0.0,1.0,0.39,0
HvyAlcoholConsump,0.06,0.0,0.0,1.0,0.23,0
AnyHealthcare,0.95,1.0,0.0,1.0,0.22,0
NoDocbcCost,0.08,0.0,0.0,1.0,0.28,0
GenHlth,2.51,2.0,1.0,5.0,1.07,0
MentHlth,3.18,0.0,0.0,30.0,7.41,0
PhysHlth,4.24,0.0,0.0,30.0,8.72,0
DiffWalk,0.17,0.0,0.0,1.0,0.37,0
Sex,0.44,0.0,0.0,1.0,0.5,0
Age,8.03,8.0,1.0,13.0,3.05,0
Education,5.05,5.0,1.0,6.0,0.99,0
Income,6.05,7.0,1.0,8.0,2.07,0
