id,loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status
1077501,5000, 36 months,10.65,162.87,B,10+ years,RENT,24000,Verified,Fully Paid
1077430,2500, 60 months,15.27,59.83,C,< 1 year,RENT,30000,Source Verified,Charged Off
1077175,2400, 36 months,15.96,84.33,C,10+ years,RENT,12252,Not Verified,Fully Paid
1076863,10000, 36 months,13.49,339.31,C,10+ years,RENT,49200,Source Verified,Fully Paid
1075358,3000, 60 months,12.69,67.79,B,1 year,RENT,80000,Source Verified,Current
1075269,5000, 36 months,7.9,156.46,A,3 years,RENT,36000,Source Verified,Fully Paid
1069639,7000, 60 months,15.96,170.08,C,8 years,RENT,47004,Not Verified,Current
1072053,3000, 36 months,18.64,109.43,E,9 years,RENT,48000,Source Verified,Fully Paid
1071795,5600, 60 months,21.28,152.39,F,4 years,OWN,40000,Source Verified,Charged Off
1071570,5375, 60 months,12.69,121.45,B,< 1 year,RENT,15000,Verified,Charged Off
1070078,6500, 60 months,14.65,153.45,C,5 years,OWN,72000,Not Verified,Fully Paid
1069908,12000, 36 months,12.69,402.54,B,10+ years,OWN,75000,Source Verified,Fully Paid
1064687,9000, 36 months,13.49,305.38,C,< 1 year,RENT,30000,Source Verified,Charged Off
1069866,3000, 36 months,9.91,96.68,B,3 years,RENT,15000,Source Verified,Fully Paid
1069057,10000, 36 months,10.65,325.74,B,3 years,RENT,100000,Source Verified,Charged Off
1069759,1000, 36 months,16.29,35.31,D,< 1 year,RENT,28000,Not Verified,Fully Paid
1065775,10000, 36 months,15.27,347.98,C,4 years,RENT,42000,Not Verified,Fully Paid
1069971,3600, 36 months,6.03,109.57,A,10+ years,MORTGAGE,110000,Not Verified,Fully Paid
1062474,6000, 36 months,11.71,198.46,B,1 year,MORTGAGE,84000,Verified,Fully Paid
1069742,9200, 36 months,6.03,280.01,A,6 years,RENT,77385.19,Not Verified,Fully Paid
1069740,20250, 60 months,15.27,484.63,C,3 years,RENT,43370,Verified,Fully Paid
1039153,21000, 36 months,12.42,701.73,B,10+ years,RENT,105000,Verified,Charged Off
1069710,10000, 36 months,11.71,330.76,B,10+ years,OWN,50000,Source Verified,Fully Paid
1069700,10000, 36 months,11.71,330.76,B,5 years,RENT,50000,Not Verified,Fully Paid
1069559,6000, 36 months,11.71,198.46,B,1 year,RENT,76000,Not Verified,Charged Off
1069697,15000, 36 months,9.91,483.38,B,2 years,MORTGAGE,92000,Verified,Fully Paid
1069800,15000, 36 months,14.27,514.64,C,9 years,RENT,60000,Not Verified,Charged Off
1069657,5000, 60 months,16.77,123.65,D,2 years,RENT,50004,Not Verified,Charged Off
1069799,4000, 36 months,11.71,132.31,B,10+ years,MORTGAGE,106000,Not Verified,Fully Paid
1047704,8500, 36 months,11.71,281.15,B,< 1 year,RENT,25000,Source Verified,Fully Paid
1032111,4375, 36 months,7.51,136.11,A,7 years,MORTGAGE,17108,Source Verified,Fully Paid
1069539,31825, 36 months,7.9,995.82,A,5 years,MORTGAGE,75000,Verified,Fully Paid
1065420,10000, 60 months,15.96,242.97,C,2 years,RENT,29120,Verified,Current
1069591,5000, 36 months,8.9,158.77,A,2 years,RENT,24044,Verified,Fully Paid
1069530,7000, 36 months,15.96,245.97,C,7 years,RENT,34000,Source Verified,Fully Paid
1069522,12400, 36 months,10.65,403.91,B,10+ years,RENT,41000,Not Verified,Fully Paid
1069361,10800, 36 months,9.91,348.03,B,2 years,RENT,55596,Source Verified,Fully Paid
1069357,15000, 36 months,7.9,469.36,A,1 year,RENT,45000,Verified,Fully Paid
1069356,6000, 36 months,12.42,200.5,B,1 year,RENT,36852,Source Verified,Fully Paid
1069346,12500, 60 months,12.69,282.44,B,1 year,RENT,27000,Verified,Current
1067573,9600, 36 months,7.51,298.67,A,4 years,RENT,68004,Source Verified,Fully Paid
1069506,12000, 36 months,7.9,375.49,A,10+ years,RENT,62300,Not Verified,Fully Paid
1069314,3000, 36 months,18.25,108.84,D,9 years,MORTGAGE,65000,Not Verified,Fully Paid
1060578,4400, 36 months,16.77,156.37,D,10+ years,RENT,55000,Not Verified,Fully Paid
1069469,6000, 36 months,6.03,182.62,A,10+ years,MORTGAGE,45600,Not Verified,Fully Paid
1051117,14000, 36 months,9.91,451.15,B,6 years,RENT,80000,Not Verified,Fully Paid
1069465,5000, 36 months,8.9,158.77,A,10+ years,MORTGAGE,100000,Source Verified,Charged Off
1069283,10000, 36 months,10.65,325.74,B,6 years,RENT,27000,Verified,Fully Paid
1069287,10000, 36 months,6.03,304.36,A,10+ years,RENT,60000,Not Verified,Fully Paid
1069453,11000, 36 months,6.62,337.75,A,5 years,RENT,70000,Not Verified,Fully Paid
1069248,15000, 36 months,9.91,483.38,B,8 years,MORTGAGE,80000,Not Verified,Charged Off
1068120,25600, 36 months,9.91,824.96,B,9 years,RENT,110000,Verified,Fully Paid
1069244,7000, 36 months,10.65,228.02,B,< 1 year,RENT,40000,Not Verified,Fully Paid
1069243,12000, 36 months,15.96,421.65,C,4 years,RENT,50000,Not Verified,Charged Off
1069238,12000, 36 months,9.91,386.7,B,1 year,RENT,46000,Not Verified,Fully Paid
1069410,21000, 60 months,19.91,555.33,E,7 years,RENT,50000,Verified,Charged Off
1068409,16000, 60 months,19.91,423.11,E,7 years,RENT,81000,Verified,Fully Paid
1068487,10000, 36 months,12.42,334.16,B,< 1 year,OWN,39000,Not Verified,Fully Paid
1043961,10000, 36 months,10.65,325.74,B,2 years,RENT,51400,Not Verified,Fully Paid
1068945,7100, 36 months,16.77,252.33,D,1 year,MORTGAGE,33000,Verified,Fully Paid
1069142,13000, 60 months,12.69,293.74,B,< 1 year,MORTGAGE,30000,Source Verified,Fully Paid
1068934,17500, 60 months,17.27,223.74,D,6 years,RENT,40000,Verified,Current
1069136,17675, 60 months,14.65,417.25,C,< 1 year,RENT,50000,Source Verified,Fully Paid
1068923,8000, 36 months,16.77,284.31,D,< 1 year,RENT,62000,Not Verified,Fully Paid
1069126,10000, 60 months,10.65,215.69,B,10+ years,RENT,45996,Verified,Charged Off
1069102,3500, 36 months,10.65,114.01,B,7 years,MORTGAGE,55000,Not Verified,Fully Paid
1069093,12500, 60 months,17.27,223.11,D,5 years,RENT,30000,Source Verified,Charged Off
1069030,16425, 36 months,14.27,563.53,C,4 years,RENT,44544,Source Verified,Fully Paid
1068906,8200, 60 months,21.28,223.14,F,4 years,RENT,75000,Source Verified,Charged Off
1069073,15000, 36 months,14.65,517.42,C,2 years,OWN,61000,Verified,Fully Paid
1069043,20975, 60 months,17.58,341.63,D,5 years,MORTGAGE,44000,Verified,Fully Paid
1060981,6400, 36 months,16.77,227.45,D,5 years,RENT,75000,Not Verified,Charged Off
1069071,3000, 36 months,13.49,101.8,C,1 year,RENT,33600,Not Verified,Fully Paid
1069070,12000, 36 months,16.77,426.47,D,3 years,RENT,50000,Not Verified,Fully Paid
1068893,14400, 36 months,8.9,457.25,A,< 1 year,OWN,150000,Source Verified,Fully Paid
1068882,12000, 36 months,14.65,413.94,C,10+ years,RENT,90000,Not Verified,Fully Paid
1069039,11000, 36 months,13.49,373.24,C,10+ years,MORTGAGE,48000,Verified,Fully Paid
1068416,7250, 60 months,21.67,197.51,F,< 1 year,RENT,75000,Verified,Fully Paid
1068997,15000, 36 months,7.9,469.36,A,1 year,MORTGAGE,52000,Not Verified,Fully Paid
