study_hrs	seminar_hrs	passed
111	6	1
82	12	1
83	5	0
76	18	0
101	1	0
60	0	0
113	0	0
80	4	0
94	2	0
87	18	1
109	6	1
63	1	0
86	14	1
85	5	0
105	2	0
76	12	1
88	11	0
79	6	0
91	15	0
98	9	1
76	16	0
105	11	1
102	16	1
97	9	1
102	2	0
81	20	1
88	5	0
78	7	0
87	4	1
97	7	1
81	9	0
85	9	1
81	11	0
79	17	1
81	7	0
90	2	0
75	2	0
93	5	0
112	0	1
100	12	1
88	6	0
78	6	0
80	8	0
112	1	1
91	4	1
82	11	0
92	11	0
117	6	1
92	17	1
98	1	0
94	6	0
85	7	0
75	0	0
85	18	1
87	10	0
98	3	0
101	18	1
102	11	1
94	10	0
102	5	0
80	9	0
106	0	0
97	12	1
86	6	0
96	9	0
89	14	1
105	9	1
110	9	1
118	9	1
72	4	0
71	12	0
83	16	1
92	12	1
101	12	1
94	4	1
64	4	0
86	1	0
101	14	1
93	7	1
100	15	1
87	4	1
87	6	0
92	8	1
95	13	1
93	8	0
92	9	0
81	8	1
95	9	1
92	2	0
105	8	0
106	7	1
92	8	0
85	10	1
82	5	0
96	8	1
91	7	0
86	10	0
91	12	1
82	3	0
99	11	0
84	18	1
106	1	1
95	4	0
98	4	0
76	7	0
92	16	1
100	8	1
78	5	0
87	11	0
90	5	1
72	14	0
94	10	0
101	15	1
79	5	0
95	23	1
73	12	0
89	11	0
69	8	0
105	4	0
95	4	1
90	7	0
80	4	0
107	9	1
116	4	1
66	11	1
106	13	0
111	4	1
94	14	1
74	7	0
101	14	1
88	10	1
82	14	1
74	3	0
97	7	1
100	15	1
82	5	1
97	0	0
75	0	0
100	0	0
91	0	0
88	6	0
89	14	1
101	6	0
100	10	1
97	7	0
92	8	0
91	7	1
98	7	0
93	10	1
99	2	0
86	13	0
58	13	0
104	7	0
118	12	1
96	4	0
89	5	0
88	9	0
88	7	0
90	6	0
75	5	0
83	5	0
77	13	1
93	0	0
86	10	0
96	7	0
88	12	1
103	11	1
93	0	0
118	11	1
65	10	0
82	8	0
102	6	0
123	12	1
87	6	0
91	17	1
87	11	0
107	19	1
86	4	0
99	0	1
86	12	1
73	12	0
94	8	0
97	0	0
107	6	1
89	11	1
82	7	0
97	7	0
93	7	1
94	3	0
89	5	0
105	1	0
95	17	1
115	6	1
104	10	1
99	3	1
69	12	0
98	0	0
95	13	1
101	8	0
104	19	1
