ord_id,prod_id,quantity,line_total
7376987,67,1,3799.0
7376987,36,2,6740.0
7376987,11,2,9400.0
7376987,50,3,16829.97
7376988,25,1,5463.64
7376989,21,3,19136.7
7376989,39,3,17156.7
7376989,9,3,9236.7
7376989,33,2,10680.98
7376989,19,1,4675.0
7376990,64,1,3600.0
7376991,16,3,15815.97
7376992,1,1,5899.0
7376992,21,1,5799.0
7376993,41,3,12897.0
7376993,46,1,5375.99
7376993,53,3,22696.98
7376994,69,3,13796.55
7376994,52,3,9104.55
7376995,34,3,17697.0
7376995,13,1,5800.0
7376996,28,2,8799.98
7376996,69,3,13196.7
7376997,18,2,8400.0
7376997,48,2,10751.98
7376997,7,2,8599.98
7376998,62,2,14354.28
7376998,35,1,4598.85
7376998,33,2,11166.48
7376998,15,3,26564.97
7376998,68,3,13796.55
7376999,67,3,13106.55
7376999,48,2,12364.78
7377000,45,1,4745.0
7377000,3,2,10998.0
7377001,13,3,17400.0
7377001,34,1,5899.0
7377001,15,1,7699.99
7377002,18,2,8400.0
7377003,21,3,17397.0
7377003,23,2,8798.0
7377003,62,3,18722.97
7377004,35,2,7998.0
7377004,39,1,5199.0
7377004,8,3,19439.97
7377004,52,3,7917.0
7377005,38,3,13197.0
7377005,26,3,9192.0
7377006,33,3,14564.97
7377006,43,3,9597.0
7377006,45,2,9490.0
7377007,27,1,4650.79
7377007,66,2,7477.8
7377008,62,2,12481.98
7377008,55,1,3209.08
7377008,31,2,8899.8
7377009,5,2,6961.98
7377009,59,3,13937.97
7377009,21,3,17397.0
7377010,38,3,13197.0
7377010,27,2,8455.98
7377010,49,2,9358.0
7377010,56,3,13514.97
7377011,5,2,6961.98
7377011,43,1,3199.0
7377011,63,3,5550.0
7377011,24,1,7399.0
7377011,14,3,24000.0
7377012,52,3,8708.7
7377012,23,2,9677.8
7377012,31,1,4894.89
7377012,49,3,15440.7
7377012,9,1,3078.9
7377013,26,2,6128.0
7377014,68,3,11997.0
7377014,1,2,11798.0
7377014,55,2,6418.16
7377014,59,1,4645.99
7377014,20,1,3999.0
7377015,67,2,7598.0
7377015,66,2,6798.0
7377015,59,2,9291.98
7377016,34,3,17697.0
7377016,47,3,12056.97
7377016,46,3,16127.97
7377016,15,1,7699.99
7377017,44,3,19185.0
7377017,60,3,11997.0
7377017,58,1,3739.0
7377017,12,2,11000.0
7377017,1,2,11798.0
7377018,47,2,8037.98
7377018,59,1,4645.99
7377019,34,3,17697.0
7377019,45,3,14235.0
7377020,24,1,8508.85
7377020,45,2,10913.5
7377020,28,3,13799.97
7377020,27,3,14586.57
7377021,27,1,4862.19
7377022,45,2,10913.5
7377022,27,3,14586.57
7377022,30,3,15007.5
7377022,53,2,17401.02
7377023,19,2,8500.0
7377024,32,2,8998.0
7377024,37,1,3009.0
7377024,64,3,10800.0
7377024,16,2,10543.98
7377024,35,1,3999.0
7377025,34,2,12977.8
7377025,8,3,21383.97
7377026,3,3,16497.0
7377026,63,2,3700.0
7377026,64,1,3600.0
7377026,14,1,8000.0
7377027,69,3,11997.0
7377027,28,2,7999.98
7377028,61,2,8398.0
7377028,51,3,11021.97
7377028,69,1,3999.0
7377029,22,3,22197.0
7377029,47,1,4018.99
7377029,34,3,17697.0
7377030,58,1,4299.85
7377031,33,1,4854.99
7377031,16,2,10543.98
7377032,35,3,13196.7
7377032,10,2,11217.8
7377032,11,1,5170.0
7377033,34,2,11798.0
7377033,54,1,5656.41
7377033,67,2,7598.0
7377034,19,1,4250.0
7377034,7,1,4299.99
7377034,64,3,10800.0
7377034,44,1,6395.0
7377035,62,1,6240.99
7377036,53,1,7565.66
7377036,52,3,7917.0
7377037,68,1,4598.85
7377038,5,1,3829.09
7377038,65,2,9680.0
7377039,31,3,15352.15
7377039,7,2,9889.98
7377039,39,3,17936.55
7377039,16,1,6062.79
7377039,38,2,10117.7
7377040,45,1,5456.75
7377040,44,2,14708.5
7377040,29,3,13106.55
7377041,10,1,5099.0
7377041,61,1,4199.0
7377041,60,2,7998.0
7377041,14,2,16000.0
7377042,55,2,7380.88
7377042,31,3,15352.15
7377042,68,2,9197.7
7377043,38,3,13197.0
7377043,68,2,7998.0
7377043,60,3,11997.0
7377043,19,3,12750.0
7377044,8,3,19439.97
7377044,48,1,5375.99
7377044,37,1,3009.0
7377044,9,1,2799.0
7377045,11,1,4700.0
7377045,28,3,11999.97
7377045,46,3,16127.97
7377045,42,3,15000.0
7377046,54,1,5656.41
7377046,1,2,11798.0
7377046,59,1,4645.99
7377046,29,2,7598.0
7377046,53,1,7565.66
7377047,51,3,11021.97
7377048,42,3,15000.0
7377048,36,1,3370.0
7377048,21,2,11598.0
7377048,28,2,7999.98
7377048,47,2,8037.98
7377049,60,3,13796.55
7377049,54,3,19514.61
7377050,47,2,8037.98
7377050,65,3,13200.0
7377051,43,3,9597.0
7377051,69,3,11997.0
7377052,17,2,10591.8
7377052,53,2,15131.32
7377052,48,1,5375.99
7377053,35,3,11997.0
7377053,6,3,5849.97
7377053,41,3,12897.0
7377054,41,3,14186.7
7377054,26,1,3370.4
7377054,21,1,6378.9
7377054,67,1,4178.9
7377054,14,1,8800.0
7377055,25,3,14252.97
7377055,18,2,8400.0
7377055,39,1,5199.0
7377055,20,1,3999.0
7377055,43,2,6398.0
7377056,66,2,7817.7
7377057,6,3,6434.97
7377057,1,1,6488.9
