ord_id,ord_date,ord_tax_loc,order_tot,ord_ship_add,ord_ship_date,ord_track_num,warehouse_id,cus_id
7376987,2020-04-30,4,36768.97,False,2020-05-05,PAC433013-4,3,319
7376988,2025-07-01,2,5463.64,False,2025-07-04,PAC763725-0,2,1234
7376989,2023-04-08,17,60886.08,False,2023-04-20,PAC605622-9,2,1692
7376990,2021-11-12,7,3600.0,True,2021-11-19,PAC545384-7,2,2167
7376991,2018-08-05,13,15815.97,False,2018-08-14,PAC767503-9,3,270
7376992,2018-08-05,19,11698.0,True,2018-08-07,PAC360597-7,3,1082
7376993,2017-08-05,12,40969.97,True,2017-08-10,PAC247811-4,3,329
7376994,2024-08-20,16,22901.1,False,2024-08-24,PAC925754-2,1,2058
7376995,2021-11-25,4,23497.0,True,2021-12-02,PAC940660-0,3,2270
7376996,2023-01-09,8,21996.68,False,2023-01-10,PAC154476-8,2,1263
7376997,2017-03-18,1,27751.96,False,2017-03-25,PAC170072-3,2,367
7376998,2025-09-10,19,70481.13,False,2025-09-11,PAC927873-0,2,1933
7376999,2024-04-16,15,25471.33,True,2024-04-26,PAC835744-0,2,2545
7377000,2019-03-03,8,15743.0,False,2019-03-10,PAC655118-1,1,753
7377001,2018-11-09,5,30998.99,False,2018-11-15,PAC575508-9,2,2475
7377002,2018-11-15,14,8400.0,True,2018-11-16,PAC673726-4,2,211
7377003,2020-01-16,20,44917.97,True,2020-01-22,PAC877041-8,1,308
7377004,2020-12-10,5,40553.97,False,2020-12-19,PAC935313-3,2,324
7377005,2020-07-24,3,22389.0,False,2020-08-06,PAC284183-8,1,1205
7377006,2019-12-22,17,33651.97,True,2020-01-04,PAC178657-2,3,906
7377007,2022-01-15,2,12128.59,True,2022-01-16,PAC868137-3,2,1301
7377008,2018-06-04,18,24590.86,True,2018-06-05,PAC281313-2,1,1421
7377009,2019-12-25,11,38296.95,True,2020-01-06,PAC962785-1,3,1856
7377010,2020-04-18,16,44525.95,False,2020-04-27,PAC935972-8,1,329
7377011,2020-08-29,12,47109.98,True,2020-09-11,PAC398837-5,1,509
7377012,2023-10-23,12,41800.99,True,2023-10-30,PAC736558-2,3,609
7377013,2019-01-15,2,6128.0,True,2019-01-18,PAC267812-5,1,2453
7377014,2020-11-24,16,38858.15,False,2020-11-25,PAC632595-0,1,1418
7377015,2021-10-10,8,23687.98,False,2021-10-19,PAC141591-0,1,638
7377016,2017-06-23,1,53581.93,False,2017-06-29,PAC129296-7,3,1230
7377017,2021-12-29,6,57719.0,False,2022-01-05,PAC869154-3,2,1963
7377018,2018-09-28,19,12683.97,True,2018-10-09,PAC125033-8,1,1001
7377019,2017-08-31,5,31932.0,False,2017-09-11,PAC796570-8,1,1209
7377020,2025-06-24,13,47808.89,True,2025-06-29,PAC835672-2,1,275
7377021,2025-08-25,10,4862.19,False,2025-09-07,PAC448956-9,2,303
