rac_id,ord_id,cus_id,warehouse_id,tot_ret_item_cnt,tot_ret_amnt,return_date
1025,5978290,1136,1,1,4199,2006-11-20
1026,5705414,1109,3,1,8000.69,2013-03-01
1027,3430314,835,2,1,5679.85,2000-11-02
1028,5785967,1846,2,1,4645.99,2010-04-20
1029,6316949,2531,3,1,5071.04,2006-07-19
1030,6218108,2478,3,1,3401.62,2008-10-05
1031,3909796,1049,3,1,4692.46,2011-11-27
1032,4532837,987,2,1,7879.94,2009-06-27
1033,7376986,1905,2,1,5592.47,2005-08-10
1034,2685159,474,2,1,4924.75,2019-07-21
1035,4770294,1471,3,1,4820.34,2006-06-15
1036,2791283,408,1,1,4557.99,2000-04-09
1037,2066470,646,3,1,4504.99,2003-04-25
1038,3224260,144,1,1,4934.8,2017-10-27
1039,5784843,1832,1,1,4965.4,2004-03-04
1040,2253672,2586,2,1,3274.65,2000-06-19
1041,1564158,1504,2,1,5848.19,2011-02-16
1042,4635506,1745,3,1,4488.75,2006-01-24
1043,7072545,591,3,1,4924.75,2006-02-04
1044,4043884,788,2,1,4026.94,2019-01-11
1045,1570448,2223,2,1,5237.5,2011-08-26
1046,4312665,1568,2,1,4717.93,2017-08-25
1047,5833265,728,3,1,5744.75,2004-03-29
1048,3612146,1229,2,1,5083.56,2019-01-17
1049,2728357,2107,2,1,4534.52,2001-02-25
1050,2965252,1344,1,1,4222.94,2000-11-02
1051,2860378,1410,1,1,8480,2011-01-27
1052,2871283,2110,1,1,4492.93,2010-12-07
1053,5039118,794,3,1,4177.99,2011-03-05
1054,3128311,1840,1,1,4949.04,2000-06-19
1055,7322569,598,3,1,4934.8,2009-08-09
1056,1433896,2008,1,1,4523.95,2000-05-11
1057,1180734,1607,1,1,5146.29,2009-05-15
1058,2308509,1294,2,1,8000,2007-11-07
1059,3920863,1955,3,1,8007.99,2009-03-14
1060,6461171,1417,1,1,4496.47,2013-08-07
1061,3143426,361,2,1,6032,2009-02-21
1062,2202409,1528,2,1,7728.26,2009-06-02
1063,5438767,94,2,1,6787.79,2008-09-02
1064,4911975,87,3,1,4222.94,2019-03-28
1065,6747341,967,2,1,5422.56,2001-10-01
1066,1683121,116,2,1,4685.19,2008-10-28
1067,1916759,2060,2,1,4609,2007-09-08
1068,6085831,665,3,1,5918.54,2018-01-21
1069,5698647,877,1,1,3341.36,2017-09-28
1070,7207824,847,3,1,5529.14,2015-12-16
1071,6574015,1382,3,1,3001.93,2012-01-22
1072,5142607,1980,2,1,5077.15,2013-10-25
1073,2884084,1772,3,1,4273.93,2004-11-12
1074,1756068,1786,3,1,5656.41,2016-07-28
1075,4359734,1837,1,1,4250.08,2013-03-10
1076,4834655,957,3,1,4905.93,2017-10-09
1077,4136230,866,2,1,6252.94,2018-08-17
1078,2066470,646,3,1,4504.99,2003-08-17
1079,3675795,2071,1,1,5614.67,2013-06-19
1080,2762489,2086,3,1,4218.95,2003-07-09
1081,2557474,2294,1,1,6132.44,2016-10-19
1082,2399306,1627,3,1,4524,2017-07-10
1083,4874205,2425,2,1,5406.96,2011-04-08
1084,4431923,1820,2,1,5974.64,2013-12-17
1085,3703558,1660,3,1,5752.31,2008-12-17
1086,7376150,696,3,1,5071.04,2019-02-19
1087,4983307,1606,1,1,5059.8,2018-10-01
1088,3832481,1332,1,1,4775.29,2007-07-27
1089,1241453,300,2,1,2744.56,2002-05-13
1090,1424237,1608,2,1,4481.67,2008-07-03
1091,5989927,2166,1,1,4982.82,2014-06-18
1092,2069936,925,2,1,8142.74,2017-03-04
1093,3570845,168,3,1,6220.5,2011-08-21
1094,3783492,2449,1,1,6746.73,2001-04-17
1095,2685159,474,2,1,4924.75,2019-05-07
1096,4184333,2104,3,1,4288.93,2015-08-04
1097,6356161,670,3,1,5122.01,2004-07-21
1098,1915887,2142,3,1,2919.36,2010-11-04
1099,5885102,1343,3,1,4238.94,2009-06-14
1100,6964456,806,3,1,6698.76,2018-10-10
1101,6305708,157,2,1,2923.56,2014-02-14
1102,6437349,2171,3,1,4011.74,2007-01-20
1103,5783792,662,3,1,3675.93,2005-07-14
1104,6534804,1523,2,1,5899,2000-07-31
1105,1520330,1883,1,1,6081.3,2000-03-04
1106,4093873,2350,2,1,4941.01,2002-04-17
1107,3417805,523,1,1,3401.62,2002-09-13
1108,6711968,141,1,1,3999.99,2019-07-12
1109,4578037,773,1,1,4831.83,2015-03-16
1110,1356426,1721,1,1,4662.94,2006-08-16
1111,1423085,1821,3,1,8042.64,2009-07-04
1112,2970156,1166,1,1,5698.55,2000-11-26
1113,3534753,335,2,1,5000,2019-06-03
1114,1532917,1230,1,1,7868.84,2018-03-25
1115,5242218,2560,3,1,4366.96,2010-11-23
1116,4409354,867,3,1,4159.99,2018-09-07
1117,4294654,793,1,1,6395,2002-08-31
1118,7126778,1836,3,1,3799,2016-08-13
1119,5798754,1305,3,1,5194.84,2018-07-04
1120,3048373,1208,2,1,2341.94,2018-12-25
1121,2703919,1394,3,1,4664,2012-12-04
1122,6771690,99,1,1,4609,2011-04-06
1123,5961883,2041,3,1,4524,2004-03-01
1124,2936479,1863,2,1,5974.64,2003-09-13
1125,3169204,2361,1,1,3739,2004-06-28
1126,3373348,466,2,1,4679,2003-02-11
1127,7156957,1145,3,1,3727.5,2009-12-14
1128,7055600,1448,2,1,3399,2003-09-08
1129,1123484,1777,3,1,3744,2002-11-23
1130,2900403,2396,2,1,4651.94,2008-01-11
1131,2869777,1273,2,1,3820.95,2020-01-28
1132,5001950,2456,2,1,4537.05,2016-08-30
1133,5803492,538,2,1,6167.24,2010-08-23
1134,5001950,2456,2,1,4537.05,2016-08-06
1135,3263076,458,2,1,1961,2013-07-02
1136,1807430,2272,3,1,5899,2013-08-25
1137,5504180,1070,1,1,6326.68,2006-05-08
1138,1477139,759,1,1,6778.7,2001-03-15
1139,4437714,2180,2,1,4037.53,2012-03-10
1140,1673044,549,1,1,4451.88,2018-04-03
1141,2126409,2349,1,1,5859.63,2019-12-05
1142,1855891,2264,2,1,4496.47,2005-11-07
1143,2869777,1273,2,1,3820.95,2020-06-06
1144,7002106,1990,1,1,5000,2019-09-03
1145,5438322,1652,1,1,6030.96,2003-12-16
1146,4858116,2310,2,1,4179.75,2018-09-26
1147,2026761,718,2,1,4651.94,2011-06-18
1148,3938629,783,2,1,3199,2018-08-05
1149,1531248,1235,2,1,4278.93,2010-08-09
1150,6077808,186,1,1,4218.95,2010-05-16
1151,3193964,207,1,1,5609.99,2007-11-21
1152,5821289,869,2,1,5040.75,2012-12-31
1153,6306290,2017,3,1,4654.5,2018-11-22
1154,5001562,469,1,1,5575.93,2006-11-30
1155,5775992,176,1,1,5659.99,2007-09-08
1156,3938629,783,2,1,3199,2018-04-24
1157,5823800,455,1,1,4238.94,2018-05-26
1158,2105212,1066,3,1,7565.66,2008-11-05
1159,1436374,2405,3,1,6134.96,2000-12-19
1160,6678036,1684,3,1,4494.38,2014-10-10
1161,4601068,513,1,1,3429.7,2013-03-11
1162,6254064,394,1,1,4238.94,2013-08-23
1163,7361958,2204,2,1,4450.94,2019-06-08
1164,4718559,832,2,1,3154.94,2008-12-29
1165,3341636,1264,1,1,7916.93,2004-12-08
1166,1383811,1120,1,1,6273.59,2006-01-30
1167,4441967,595,3,1,4647.92,2012-12-02
1168,2484916,1141,1,1,4026.94,2002-02-03
1169,4375558,1348,2,1,4260.13,2018-08-30
1170,6378566,2100,2,1,4200,2005-07-10
1171,4055987,1279,1,1,3999,2007-08-15
1172,2250709,1694,3,1,4797.81,2011-06-03
1173,2533036,638,2,1,4627.9,2011-09-05
1174,3024469,1565,1,1,5828.94,2011-02-28
1175,1265070,1178,3,1,4679,2009-03-13
1176,1798847,842,3,1,4645.99,2001-12-05
1177,7324361,2037,2,1,6590.49,2013-04-12
1178,5780157,255,2,1,4678.96,2016-04-30
1179,6974353,123,1,1,4854.99,2009-04-09
1180,4801426,59,1,1,4924.75,2000-05-07
1181,1273816,672,3,1,8258.24,2008-03-18
1182,2537962,1924,2,1,5275,2006-11-15
1183,2049307,751,3,1,2910.96,2000-12-31
1184,5892291,985,2,1,6177,2015-04-06
1185,5924114,2480,2,1,3724.66,2004-02-17
1186,3191867,2237,2,1,5899,2019-08-03
1187,3555795,181,1,1,6646.65,2002-09-24
1188,4043069,1379,1,1,5615.22,2016-09-15
1189,2453663,1258,3,1,4947.98,2011-03-19
1190,1932274,437,3,1,3999,2011-12-10
1191,3709117,2592,3,1,5506.59,2014-06-15
1192,4731688,1433,1,1,6868.79,2014-07-04
1193,2159284,1393,1,1,6901.19,2018-11-19
1194,7187578,770,2,1,1924,2014-01-31
1195,1140771,892,3,1,4026.94,2015-02-08
1196,3279679,951,3,1,4350,2004-04-06
1197,2248192,2155,2,1,5591.03,2011-10-23
1198,5917964,1671,2,1,5017.84,2005-04-08
1199,6761576,98,2,1,4273.93,2003-02-12
1200,3413856,2426,3,1,2784.15,2001-02-10
1201,4770294,1471,3,1,4820.34,2006-04-30
1202,6153273,654,3,1,4640.95,2018-01-24
1203,3854004,1588,2,1,5851.22,2001-10-16
1204,3374321,360,2,1,3999,2016-07-03
1205,4956473,1033,1,1,4745,2011-11-24
1206,5542779,1037,1,1,3894.43,2010-02-14
1207,6749345,2492,2,1,4409.79,2000-06-27
1208,6768482,1199,3,1,4037.53,2010-01-31
1209,4952286,655,1,1,4279.99,2012-07-29
1210,3674532,615,2,1,5857.5,2000-09-16
1211,6008236,577,1,1,6177,2017-01-14
1212,3430314,835,2,1,5679.85,2000-10-10
1213,2479298,2178,3,1,3209.08,2016-12-06
1214,3604057,1754,3,1,2810.54,2018-12-29
1215,5495411,2372,3,1,5379.45,2017-12-26
1216,6452711,1158,1,1,7925.03,2016-10-24
1217,1351696,2355,3,1,4576,2011-07-21
1218,2270347,1791,3,1,5497.94,2016-11-18
1219,4204767,1734,3,1,7728.26,2014-06-07
1220,7225383,1381,2,1,4449.9,2008-08-03
1221,3433071,1553,1,1,4664,2014-08-29
1222,4753063,695,1,1,4200,2003-09-23
1223,4993488,313,1,1,3828.6,2002-03-09
1224,2527834,379,1,1,5024.17,2006-10-19
1225,3219860,1253,2,1,6778.7,2015-11-08
1226,6468211,1974,2,1,4273.93,2014-09-02
1227,2640611,307,1,1,4470.96,2000-04-07
1228,4751917,429,1,1,5242.5,2008-04-23
1229,3669890,2518,1,1,6016.71,2002-03-22
1230,6758597,2022,3,1,3722.25,2004-07-13
1231,3094931,1718,2,1,3953.99,2001-03-09
1232,5372679,2490,3,1,4440.44,2019-09-18
1233,3236261,191,3,1,4701.43,2002-01-06
1234,4730256,2313,2,1,4700,2006-07-10
1235,7255384,1143,1,1,4260.13,2013-07-01
1236,3222729,2200,1,1,5199,2002-09-25
1237,4328842,1560,2,1,4432.75,2001-01-05
1238,3266665,607,2,1,3672.44,2011-10-03
1239,5775992,176,1,1,5659.99,2007-11-07
1240,2399548,1500,3,1,4941.02,2011-03-06
1241,2990263,303,3,1,5666.61,2002-08-22
1242,7189593,2052,3,1,4492.93,2005-10-22
1243,4514309,380,3,1,4784.69,2006-10-08
1244,4205785,252,3,1,4064.93,2014-09-14
1245,3869814,661,1,1,4752.76,2006-07-29
1246,1511190,1223,1,1,6615.45,2003-07-03
1247,5276105,834,3,1,6134.96,2006-10-20
1248,3956821,448,3,1,3232.52,2017-06-13
1249,1971410,644,2,1,4238.94,2007-10-01
1250,2774446,634,2,1,6842.65,2008-02-29
1251,1982827,2193,1,1,3247.84,2002-03-31
1252,4882154,174,3,1,4222.94,2008-04-26
1253,4184682,1129,2,1,3401.62,2007-05-31
1254,5293031,2146,1,1,4906.17,2011-05-15
1255,3672680,786,1,1,4662.94,2001-05-19
1256,6462098,471,2,1,6132.44,2006-12-07
1257,7014320,1117,3,1,3572.2,2004-06-15
1258,1708131,946,3,1,6134.96,2003-06-02
1259,2356703,165,3,1,4543.58,2004-10-27
1260,4500856,1569,2,1,4159.99,2005-07-05
1261,4746028,1543,2,1,4982,2007-03-17
1262,6397713,1206,3,1,4022.29,2016-11-17
1263,5805263,1008,1,1,4924.75,2007-11-10
1264,7313221,2007,2,1,5063.75,2002-12-12
1265,3613935,991,2,1,4739.14,2005-07-03
1266,1734546,2278,2,1,5404.94,2001-05-28
1267,2631396,1941,3,1,1949.99,2018-10-30
1268,6698819,2229,2,1,5430.36,2020-03-31
1269,3737347,588,2,1,5698.55,2006-04-07
1270,3904450,42,2,1,4976.66,2015-04-25
1271,5249948,359,3,1,5455.93,2018-05-19
1272,1848120,1872,3,1,4366.96,2017-12-04
1273,3107369,2105,2,1,4159.99,2001-06-06
1274,6072149,76,1,1,5736.5,2013-07-10
1275,2670326,1948,1,1,4045.94,2013-05-05
1276,2676514,864,2,1,4188.95,2004-08-09
1277,2324966,548,1,1,4260.13,2001-04-23
1278,2542761,21,1,1,3707.25,2017-10-27
1279,3586980,2557,1,1,4449.9,2017-09-15
1280,4733459,2140,1,1,3189.54,2019-04-14
1281,5833265,728,3,1,5744.75,2004-03-17
1282,2099915,282,1,1,3545.16,2002-10-17
1283,2022811,805,3,1,4504.99,2017-05-28
1284,2114241,1476,2,1,4611,2003-04-12
1285,1248651,2474,1,1,3534.96,2020-03-08
1286,6399921,1601,3,1,3999,2019-12-11
1287,1793724,2371,3,1,4010.08,2015-04-22
1288,4526124,841,1,1,5967.51,2011-01-11
1289,5556208,1930,2,1,4523.95,2010-06-23
1290,1177153,2130,2,1,4610.68,2000-08-21
1291,3012192,2279,3,1,5556.43,2018-08-24
1292,3242663,560,1,1,5897.68,2014-01-08
1293,3179888,913,1,1,4439.13,2008-03-13
1294,3668211,1716,1,1,3999,2017-02-12
1295,6640295,1039,1,1,5012.29,2019-12-16
1296,1848120,1872,3,1,4366.96,2017-07-04
1297,3513797,275,2,1,4936.35,2001-08-27
1298,5117750,628,1,1,3232.52,2001-01-29
1299,1332784,251,3,1,4982.82,2015-08-03
1300,4826066,551,1,1,4719,2003-03-22
1301,5931940,2206,1,1,5170.56,2005-08-25
1302,2721776,2145,2,1,4745,2002-04-09
1303,5526016,1096,2,1,5698.55,2000-10-27
1304,3105756,2187,2,1,3963.34,2001-12-17
1305,3879768,2297,1,1,4504.99,2014-08-08
1306,2701340,1725,3,1,6836.39,2006-05-04
1307,5930598,1041,1,1,8356,2012-11-30
1308,4895049,2545,2,1,4238.94,2009-12-02
1309,2278706,1808,1,1,5607.16,2019-03-14
1310,2760984,382,2,1,4594.56,2020-03-01
1311,3645184,2413,1,1,3500,2015-05-14
1312,5969548,2463,2,1,6229.34,2013-10-23
1313,1732487,1286,2,1,6273.59,2004-08-07
1314,6383954,924,2,1,3799,2013-02-19
1315,3019847,2443,1,1,4546.19,2010-03-28
1316,1164924,1418,3,1,3963.34,2014-04-15
1317,1971410,644,2,1,4238.94,2007-12-04
1318,5553460,1456,1,1,2199,2000-04-18
1319,6305708,157,2,1,2923.56,2014-02-15
1320,2167687,336,1,1,1961,2006-03-30
1321,1210336,1275,2,1,3940.35,2015-01-24
1322,2417445,2234,2,1,5006.53,2000-07-13
1323,2992197,1753,1,1,5300,2005-08-26
1324,2537962,1924,2,1,5275,2006-09-03
1325,4463150,636,2,1,2341.94,2014-02-08
1326,2053794,1899,3,1,7399,2010-09-13
1327,6814817,2347,2,1,7805.95,2004-11-30
1328,3276678,1849,1,1,3602.94,2012-05-26
1329,3982943,1318,1,1,5882.67,2014-06-02
1330,4157138,115,2,1,5302.96,2004-07-20
1331,3852824,488,1,1,6787.79,2014-08-16
1332,6725243,2416,2,1,4535.45,2003-01-22
1333,4139607,509,1,1,4179.75,2008-08-02
1334,1931021,2415,2,1,3563.85,2014-11-28
1335,1171484,1341,2,1,4717.93,2009-08-17
1336,4101862,831,1,1,6842.65,2002-04-03
1337,5876319,1462,2,1,3852.18,2006-04-05
1338,4144370,1825,2,1,3186.56,2011-09-14
1339,2686012,769,3,1,3820.95,2017-05-17
1340,6762258,824,3,1,4708,2016-10-10
1341,2900047,82,3,1,4200,2008-07-31
1342,2399306,1627,3,1,4524,2017-06-14
1343,5448154,682,2,1,4699.21,2017-04-24
1344,2884084,1772,3,1,4273.93,2004-09-08
1345,1190048,1510,2,1,5882.07,2015-06-09
1346,7194135,339,3,1,3692.5,2006-09-05
1347,5788077,1743,3,1,2756.44,2004-01-17
1348,5461622,2400,2,1,5362.5,2009-09-25
1349,1671573,2482,3,1,6650.8,2001-10-17
1350,3331329,2029,1,1,2966.94,2015-07-04
1351,3357626,1304,2,1,5946.59,2013-02-09
1352,1491482,2215,1,1,3982.04,2007-01-23
1353,1186708,1566,1,1,8000,2001-12-14
1354,1499647,175,3,1,7399,2017-03-17
1355,5291940,2414,3,1,5995.79,2004-11-04
1356,4196018,1983,1,1,3422.93,2012-11-30
1357,1551985,1055,3,1,4466.7,2013-07-20
1358,6663983,74,1,1,4452,2007-09-19
1359,2672990,2148,1,1,5199,2003-05-15
1360,7081654,2359,2,1,4471.94,2003-09-29
1361,7370149,962,3,1,5671.67,2003-02-12
1362,1137418,325,3,1,8123.49,2000-07-21
1363,2801694,1101,1,1,6395,2008-05-28
1364,2970156,1166,1,1,5698.55,2000-12-14
1365,2643335,1972,1,1,8356,2005-03-25
1366,7211010,2432,3,1,4456.13,2009-07-14
1367,1794627,511,3,1,4678.96,2009-04-01
1368,2325001,623,2,1,5536.94,2000-08-25
1369,5892291,985,2,1,6177,2014-12-28
1370,6414515,2465,1,1,3968.06,2017-05-07
1371,2436329,46,1,1,3999,2001-03-24
1372,5136786,676,3,1,5006.53,2012-01-08
1373,4760143,1333,1,1,6134.96,2011-01-07
1374,4213716,2582,1,1,6282.44,2019-10-13
1375,2845358,859,1,1,4642,2017-02-08
1376,3829941,88,3,1,5561.95,2002-06-13
1377,6011875,1491,2,1,7728.26,2009-05-18
1378,6160385,2352,1,1,4239.99,2018-09-19
1379,3894500,2283,2,1,4664,2000-10-24
1380,7027464,2049,2,1,5295.9,2000-07-29
1381,7260737,1259,3,1,4750.99,2010-01-02
1382,4519696,1018,2,1,3605.9,2016-12-25
1383,2536755,572,3,1,2966.94,2017-03-27
1384,5929442,2238,2,1,4647.92,2012-12-02
1385,6386246,1212,2,1,5040.75,2016-12-08
