rac_id,prod_id,comp_id,return_qty,return_amount,return_reason
1025,40,,1,4199,Broken Frame
1026,53,,1,8000.69,Warranty Replacement
1027,17,,1,5679.85,Customer Changed Mind
1028,59,,1,4645.99,Wheel Failure
1029,33,,1,5071.04,Paint Defect
1030,55,261,1,3401.62,Broken Frame
1031,32,43,1,4692.46,Fork Issue / Leaking
1032,22,,1,7879.94,Damaged in Shipping
1033,17,,1,5592.47,Wrong Size
1034,59,36,1,4924.75,Paint Defect
1035,56,,1,4820.34,Damaged in Shipping
1036,7,,1,4557.99,Damaged in Shipping
1037,56,,1,4504.99,Broken Frame
1038,45,,1,4934.8,Customer Changed Mind
1039,59,,1,4965.4,Wrong Size
1040,26,,1,3274.65,Broken Frame
1041,3,,1,5848.19,Fork Issue / Leaking
1042,18,155,1,4488.75,Customer Changed Mind
1043,59,219,1,4924.75,Broken Frame
1044,29,,1,4026.94,Faulty Brake
1045,42,,1,5237.5,Defective Component
1046,23,,1,4717.93,Paint Defect
1047,12,,1,5744.75,Defective Component
1048,25,,1,5083.56,Warranty Replacement
1049,27,,1,4534.52,Damaged in Shipping
1050,68,,1,4222.94,Paint Defect
1051,14,,1,8480,Paint Defect
1052,40,,1,4492.93,Wheel Failure
1053,28,,1,4177.99,Paint Defect
1054,45,,1,4949.04,Broken Frame
1055,45,,1,4934.8,Customer Changed Mind
1056,27,,1,4523.95,Wheel Failure
1057,33,193,1,5146.29,Customer Changed Mind
1058,14,,1,8000,Broken Frame
1059,15,,1,8007.99,Wrong Size
1060,27,,1,4496.47,Wrong Size
1061,13,,1,6032,Paint Defect
1062,22,,1,7728.26,Customer Changed Mind
1063,8,,1,6787.79,Faulty Brake
1064,69,,1,4222.94,Defective Component
1065,39,,1,5422.56,Fork Issue / Leaking
1066,56,,1,4685.19,Faulty Brake
1067,65,,1,4609,Broken Frame
1068,50,,1,5918.54,Fork Issue / Leaking
1069,43,198,1,3341.36,Wheel Failure
1070,39,172,1,5529.14,Customer Changed Mind
1071,9,,1,3001.93,Paint Defect
1072,45,107,1,5077.15,Customer Changed Mind
1073,20,,1,4273.93,Faulty Brake
1074,54,,1,5656.41,Warranty Replacement
1075,47,,1,4250.08,Wheel Failure
1076,49,,1,4905.93,Customer Changed Mind
1077,34,,1,6252.94,Damaged in Shipping
1078,56,,1,4504.99,Customer Changed Mind
1079,16,,1,5614.67,Paint Defect
1080,68,,1,4218.95,Fork Issue / Leaking
1081,21,34,1,6132.44,Fork Issue / Leaking
1082,30,,1,4524,Defective Component
1083,39,,1,5406.96,Faulty Brake
1084,50,,1,5974.64,Broken Frame
1085,46,208,1,5752.31,Damaged in Shipping
1086,33,110,1,5071.04,Faulty Brake
1087,25,,1,5059.8,Defective Component
1088,56,130,1,4775.29,Wrong Size
1089,52,260,1,2744.56,Faulty Brake
1090,27,,1,4481.67,Wheel Failure
1091,59,,1,4982.82,Wheel Failure
1092,15,,1,8142.74,Wrong Size
1093,13,65,1,6220.5,Damaged in Shipping
1094,44,,1,6746.73,Broken Frame
1095,59,21,1,4924.75,Paint Defect
1096,20,,1,4288.93,Fork Issue / Leaking
1097,33,,1,5122.01,Wrong Size
1098,9,,1,2919.36,Warranty Replacement
1099,35,,1,4238.94,Wheel Failure
1100,44,,1,6698.76,Fork Issue / Leaking
1101,9,,1,2923.56,Customer Changed Mind
1102,67,,1,4011.74,Wheel Failure
1103,5,,1,3675.93,Warranty Replacement
1104,1,,1,5899,Customer Changed Mind
1105,13,,1,6081.3,Paint Defect
1106,59,,1,4941.01,Faulty Brake
1107,55,21,1,3401.62,Defective Component
1108,28,,1,3999.99,Customer Changed Mind
1109,59,,1,4831.83,Customer Changed Mind
1110,23,,1,4662.94,Warranty Replacement
1111,15,,1,8042.64,Paint Defect
1112,46,,1,5698.55,Faulty Brake
1113,42,,1,5000,Defective Component
1114,22,,1,7868.84,Wrong Size
1115,61,51,1,4366.96,Defective Component
1116,28,,1,4159.99,Warranty Replacement
1117,44,,1,6395,Fork Issue / Leaking
1118,29,254,1,3799,Fork Issue / Leaking
1119,33,,1,5194.84,Faulty Brake
1120,57,,1,2341.94,Fork Issue / Leaking
1121,65,,1,4664,Paint Defect
1122,65,90,1,4609,Fork Issue / Leaking
1123,30,227,1,4524,Fork Issue / Leaking
1124,50,,1,5974.64,Damaged in Shipping
1125,58,,1,3739,Broken Frame
1126,49,,1,4679,Customer Changed Mind
1127,2,,1,3727.5,Faulty Brake
1128,66,,1,3399,Faulty Brake
1129,64,,1,3744,Wrong Size
1130,38,,1,4651.94,Customer Changed Mind
1131,51,117,1,3820.95,Paint Defect
1132,30,,1,4537.05,Customer Changed Mind
1133,21,,1,6167.24,Broken Frame
1134,30,,1,4537.05,Broken Frame
1135,63,,1,1961,Paint Defect
1136,1,,1,5899,Defective Component
1137,34,,1,6326.68,Defective Component
1138,44,,1,6778.7,Paint Defect
1139,4,,1,4037.53,Paint Defect
1140,19,215,1,4451.88,Fork Issue / Leaking
1141,50,,1,5859.63,Damaged in Shipping
1142,27,,1,4496.47,Fork Issue / Leaking
1143,51,,1,3820.95,Damaged in Shipping
1144,42,269,1,5000,Damaged in Shipping
1145,21,,1,6030.96,Broken Frame
1146,47,146,1,4179.75,Broken Frame
1147,38,,1,4651.94,Defective Component
1148,43,,1,3199,Faulty Brake
1149,60,,1,4278.93,Broken Frame
1150,60,,1,4218.95,Fork Issue / Leaking
1151,50,,1,5609.99,Damaged in Shipping
1152,11,,1,5040.75,Paint Defect
1153,30,,1,4654.5,Fork Issue / Leaking
1154,39,276,1,5575.93,Wrong Size
1155,17,,1,5659.99,Warranty Replacement
1156,43,,1,3199,Defective Component
1157,69,,1,4238.94,Paint Defect
1158,53,,1,7565.66,Faulty Brake
1159,1,,1,6134.96,Fork Issue / Leaking
1160,19,,1,4494.38,Damaged in Shipping
1161,55,101,1,3429.7,Fork Issue / Leaking
1162,20,,1,4238.94,Wheel Failure
1163,61,,1,4450.94,Paint Defect
1164,37,,1,3154.94,Fork Issue / Leaking
1165,24,240,1,7916.93,Paint Defect
1166,34,,1,6273.59,Wrong Size
1167,31,,1,4647.92,Faulty Brake
1168,67,,1,4026.94,Customer Changed Mind
1169,47,80,1,4260.13,Damaged in Shipping
1170,18,148,1,4200,Faulty Brake
1171,60,,1,3999,Paint Defect
1172,56,,1,4797.81,Broken Frame
1173,31,,1,4627.9,Defective Component
1174,3,185,1,5828.94,Damaged in Shipping
1175,49,,1,4679,Broken Frame
1176,59,,1,4645.99,Warranty Replacement
1177,62,,1,6590.49,Customer Changed Mind
1178,32,,1,4678.96,Customer Changed Mind
1179,33,,1,4854.99,Defective Component
1180,59,,1,4924.75,Fork Issue / Leaking
1181,15,,1,8258.24,Faulty Brake
1182,42,222,1,5275,Faulty Brake
1183,9,,1,2910.96,Fork Issue / Leaking
1184,13,,1,6177,Wrong Size
1185,5,,1,3724.66,Warranty Replacement
1186,1,,1,5899,Warranty Replacement
1187,62,,1,6646.65,Fork Issue / Leaking
1188,46,,1,5615.22,Paint Defect
1189,59,,1,4947.98,Paint Defect
1190,35,,1,3999,Wheel Failure
1191,16,,1,5506.59,Customer Changed Mind
1192,8,,1,6868.79,Warranty Replacement
1193,8,,1,6901.19,Wrong Size
1194,63,,1,1924,Wrong Size
1195,67,,1,4026.94,Damaged in Shipping
1196,30,,1,4350,Customer Changed Mind
1197,48,,1,5591.03,Defective Component
1198,45,,1,5017.84,Paint Defect
1199,68,,1,4273.93,Faulty Brake
1200,52,,1,2784.15,Wrong Size
1201,56,,1,4820.34,Wrong Size
1202,38,,1,4640.95,Defective Component
1203,50,,1,5851.22,Damaged in Shipping
1204,60,,1,3999,Faulty Brake
1205,45,,1,4745,Fork Issue / Leaking
1206,51,,1,3894.43,Fork Issue / Leaking
1207,27,,1,4409.79,Wheel Failure
1208,4,,1,4037.53,Wrong Size
1209,28,24,1,4279.99,Wrong Size
1210,12,,1,5857.5,Paint Defect
1211,13,,1,6177,Paint Defect
1212,17,,1,5679.85,Wrong Size
1213,55,174,1,3209.08,Broken Frame
1214,52,,1,2810.54,Paint Defect
1215,10,,1,5379.45,Wrong Size
1216,53,,1,7925.03,Defective Component
1217,65,,1,4576,Damaged in Shipping
1218,39,104,1,5497.94,Warranty Replacement
1219,22,,1,7728.26,Damaged in Shipping
1220,31,,1,4449.9,Damaged in Shipping
1221,65,,1,4664,Wheel Failure
1222,18,,1,4200,Fork Issue / Leaking
1223,64,,1,3828.6,Defective Component
1224,25,,1,5024.17,Fork Issue / Leaking
1225,44,254,1,6778.7,Wheel Failure
1226,68,,1,4273.93,Warranty Replacement
1227,41,260,1,4470.96,Warranty Replacement
1228,42,,1,5242.5,Warranty Replacement
1229,50,100,1,6016.71,Customer Changed Mind
1230,2,,1,3722.25,Faulty Brake
1231,58,,1,3953.99,Broken Frame
1232,61,,1,4440.44,Paint Defect
1233,23,,1,4701.43,Warranty Replacement
1234,11,,1,4700,Fork Issue / Leaking
1235,47,,1,4260.13,Fork Issue / Leaking
1236,39,,1,5199,Wrong Size
1237,19,181,1,4432.75,Faulty Brake
1238,5,159,1,3672.44,Wrong Size
1239,17,,1,5659.99,Faulty Brake
1240,49,,1,4941.02,Damaged in Shipping
1241,17,,1,5666.61,Paint Defect
1242,61,151,1,4492.93,Damaged in Shipping
1243,32,,1,4784.69,Warranty Replacement
1244,29,,1,4064.93,Damaged in Shipping
1245,56,215,1,4752.76,Wheel Failure
1246,62,,1,6615.45,Wrong Size
1247,34,,1,6134.96,Customer Changed Mind
1248,26,,1,3232.52,Broken Frame
1249,20,,1,4238.94,Defective Component
1250,44,223,1,6842.65,Paint Defect
1251,26,,1,3247.84,Paint Defect
1252,20,46,1,4222.94,Customer Changed Mind
1253,55,,1,3401.62,Broken Frame
1254,59,,1,4906.17,Defective Component
1255,23,131,1,4662.94,Faulty Brake
1256,21,,1,6132.44,Customer Changed Mind
1257,36,30,1,3572.2,Wrong Size
1258,1,,1,6134.96,Defective Component
1259,30,9,1,4543.58,Damaged in Shipping
1260,28,,1,4159.99,Damaged in Shipping
1261,11,,1,4982,Fork Issue / Leaking
1262,4,,1,4022.29,Damaged in Shipping
1263,59,,1,4924.75,Defective Component
1264,33,,1,5063.75,Damaged in Shipping
1265,31,,1,4739.14,Faulty Brake
1266,10,,1,5404.94,Fork Issue / Leaking
1267,6,,1,1949.99,Warranty Replacement
